role,department,resource,resource_sensitivity,hour,is_unusual_time,known_device,location_match,role_resource_match,failed_attempts,request_frequency,credential_valid,previous_behavior_score,risk_score,risk_label
Finance Analyst,HR,Project Management System,1,15.33,0,0,1,1,0,1.88,1,0.631,22.8,LOW
Finance Analyst,HR,HR Database,3,19.27,0,1,1,1,0,3.25,1,0.942,8.5,LOW
System Administrator,HR,GitHub Project Alpha,1,2.37,1,0,1,0,3,3.99,1,0.164,91.7,HIGH
System Administrator,HR,Finance System,3,11.26,0,1,1,0,0,2.01,1,0.977,23.9,LOW
Product Manager,HR,Development Server,2,19.79,0,1,1,0,0,0.73,1,0.967,25.7,LOW
Software Developer,HR,Admin Panel,4,11.98,0,1,1,0,0,1.63,1,0.758,32.7,MEDIUM
DevOps Engineer,IT,Production Database,4,4.93,1,0,0,1,2,12.26,1,0.427,99.4,HIGH
Contractor,Product,HR Database,3,18.5,0,1,1,0,0,4.36,1,0.764,31.8,MEDIUM
Product Manager,Finance,HR Database,3,23.27,1,1,0,0,4,13.73,0,0.46,96.9,HIGH
QA Engineer,IT,HR Database,3,15.66,0,1,1,0,0,0.5,1,0.97,28.5,LOW
System Administrator,Engineering,Admin Panel,4,11.16,0,1,1,0,1,1.85,1,0.992,41.8,MEDIUM
Software Developer,Finance,Admin Panel,4,14.41,0,1,0,0,0,1.24,1,0.605,51.7,MEDIUM
HR Specialist,Product,Production Database,4,21.9,1,1,0,0,2,3.19,1,0.098,92.3,HIGH
Product Manager,Finance,Project Management System,1,15.02,0,1,1,1,0,0.45,1,0.646,3.2,LOW
Finance Analyst,Engineering,Admin Panel,4,13.19,0,1,1,0,1,4.2,1,0.618,42.3,MEDIUM
QA Engineer,Engineering,HR Database,3,9.37,0,1,1,0,0,4.27,1,0.604,27.5,LOW
HR Specialist,Engineering,Admin Panel,4,12.94,0,1,1,0,0,1.16,1,0.959,31.5,MEDIUM
DevOps Engineer,Engineering,Finance System,3,13.52,0,1,1,0,1,1.17,1,0.651,37.1,MEDIUM
QA Engineer,Product,Development Server,2,23.15,1,0,0,0,3,10.27,1,0.257,100.0,HIGH
Software Developer,HR,Production Database,4,2.66,1,0,0,0,5,3.56,1,0.423,100.0,HIGH
System Administrator,HR,Finance System,3,19.94,0,1,1,0,1,4.38,1,0.609,38.3,MEDIUM
Software Developer,HR,HR Database,3,23.53,1,0,1,1,4,5.99,1,0.033,89.4,HIGH
DevOps Engineer,IT,Development Server,2,9.2,0,1,1,0,0,0.49,1,0.706,28.4,LOW
Finance Analyst,Product,Development Server,2,22.94,1,1,0,0,1,13.61,1,0.197,100.0,HIGH
Contractor,IT,GitHub Project Alpha,1,11.58,0,1,1,0,0,4.27,1,0.969,25.6,LOW
Contractor,Engineering,HR Database,3,10.98,0,1,1,0,0,3.21,1,0.64,33.3,MEDIUM
QA Engineer,Finance,Production Database,4,16.02,0,0,1,0,0,0.54,1,0.668,51.2,MEDIUM
Product Manager,Finance,Finance System,3,17.04,0,1,1,1,0,2.85,1,0.619,8.8,LOW
Contractor,Finance,Production Database,4,17.16,0,1,1,0,0,4.72,1,0.677,29.8,LOW
HR Specialist,IT,Development Server,2,1.31,1,0,0,0,5,7.28,1,0.379,100.0,HIGH
DevOps Engineer,Product,Finance System,3,14.09,0,0,1,0,0,2.16,1,0.763,51.9,MEDIUM
Product Manager,HR,Finance System,3,21.53,1,0,0,0,4,11.93,1,0.596,100.0,HIGH
QA Engineer,IT,GitHub Project Alpha,1,19.06,0,0,0,0,1,0.8,1,0.887,71.8,HIGH
Contractor,Product,Production Database,4,23.21,1,0,0,0,4,10.96,1,0.093,100.0,HIGH
System Administrator,Finance,Admin Panel,4,12.94,0,1,1,0,0,1.32,1,0.611,31.2,MEDIUM
System Administrator,HR,Project Management System,1,22.21,1,1,1,1,4,9.73,1,0.302,77.3,HIGH
System Administrator,Product,Production Database,4,16.43,0,1,1,0,0,4.82,1,0.899,34.1,MEDIUM
Finance Analyst,Engineering,Development Server,2,23.47,1,1,0,1,3,12.55,1,0.479,100.0,HIGH
Contractor,Product,Development Server,2,15.74,0,1,1,0,0,3.12,1,0.669,27.3,LOW
System Administrator,HR,Project Management System,1,8.04,0,1,1,1,1,0.72,1,0.739,11.4,LOW
HR Specialist,Engineering,Admin Panel,4,21.72,1,0,0,0,5,4.25,0,0.03,100.0,HIGH
DevOps Engineer,IT,GitHub Project Alpha,1,1.74,1,0,0,0,4,13.5,1,0.219,99.5,HIGH
Finance Analyst,Engineering,Production Database,4,13.54,0,1,1,1,0,2.3,1,0.842,12.7,LOW
System Administrator,Engineering,HR Database,3,9.01,0,1,1,0,0,4.96,1,0.92,29.5,LOW
System Administrator,Engineering,HR Database,3,2.63,1,0,0,0,3,11.94,1,0.214,100.0,HIGH
Finance Analyst,Product,Project Management System,1,5.88,1,0,0,1,4,8.09,1,0.282,100.0,HIGH
Product Manager,IT,HR Database,3,16.09,0,1,1,0,0,2.59,1,0.752,27.1,LOW
Software Developer,IT,HR Database,3,21.62,1,0,0,0,0,3.49,1,0.302,86.2,HIGH
QA Engineer,Engineering,GitHub Project Alpha,1,18.84,0,1,1,1,1,1.05,1,0.613,14.5,LOW
HR Specialist,IT,Project Management System,1,9.7,0,1,1,1,0,3.69,1,0.946,3.3,LOW
System Administrator,Engineering,Finance System,3,10.56,0,1,1,0,0,2.21,1,0.731,26.7,LOW
Product Manager,HR,Admin Panel,4,7.12,0,1,1,0,0,1.31,1,0.77,33.1,MEDIUM
DevOps Engineer,Finance,Project Management System,1,17.46,0,1,1,1,1,2.56,1,0.877,15.1,LOW
Contractor,IT,Finance System,3,8.3,0,1,1,0,1,3.21,1,0.741,35.5,MEDIUM
Contractor,Engineering,Finance System,3,8.87,0,1,1,0,0,1.22,0,0.837,41.3,MEDIUM
Product Manager,Engineering,Development Server,2,11.75,0,1,1,1,1,1.89,1,0.797,13.7,LOW
Software Developer,Product,Production Database,4,23.62,1,0,0,0,2,4.69,1,0.259,100.0,HIGH
QA Engineer,IT,Development Server,2,2.08,1,1,0,0,4,10.88,0,0.495,96.6,HIGH
Contractor,Finance,Development Server,2,17.01,0,1,1,0,0,4.66,0,0.824,40.3,MEDIUM
Finance Analyst,IT,Finance System,3,21.04,1,0,0,0,1,10.13,1,0.569,100.0,HIGH
HR Specialist,HR,Admin Panel,4,22.18,1,1,1,0,3,3.27,1,0.004,77.0,HIGH
DevOps Engineer,HR,Production Database,4,9.88,0,1,1,0,0,0.86,1,0.748,32.3,MEDIUM
Software Developer,Product,Production Database,4,10.82,0,0,1,0,0,0.29,1,0.754,56.3,MEDIUM
HR Specialist,HR,Finance System,3,2.58,1,1,0,0,0,5.65,0,0.006,92.1,HIGH
DevOps Engineer,IT,Development Server,2,23.3,1,0,0,0,5,11.58,1,0.471,100.0,HIGH
Contractor,Finance,GitHub Project Alpha,1,11.64,0,1,1,0,0,2.28,1,0.679,24.4,LOW
System Administrator,Finance,HR Database,3,7.74,0,1,1,0,0,0.02,1,0.718,32.8,MEDIUM
Contractor,HR,Admin Panel,4,0.4,1,1,1,0,5,3.37,1,0.298,89.3,HIGH
HR Specialist,Finance,Development Server,2,15.79,0,1,1,0,0,4.97,1,0.832,30.2,MEDIUM
System Administrator,Finance,Development Server,2,19.15,0,1,1,0,1,3.03,1,0.688,35.6,MEDIUM
Contractor,Engineering,Admin Panel,4,7.6,0,1,1,0,0,3.15,1,0.604,31.9,MEDIUM
Contractor,Product,Production Database,4,10.64,0,1,1,0,0,2.53,1,0.62,34.0,MEDIUM
QA Engineer,Product,Project Management System,1,21.13,1,0,0,1,4,6.12,1,0.371,100.0,HIGH
DevOps Engineer,Finance,Admin Panel,4,12.2,0,0,1,0,0,1.28,1,0.829,51.1,MEDIUM
DevOps Engineer,IT,Production Database,4,20.0,0,1,1,1,0,2.85,1,0.899,13.9,LOW
Contractor,Engineering,Development Server,2,14.62,0,1,1,1,0,4.28,1,0.996,2.3,LOW
Finance Analyst,HR,Production Database,4,7.59,0,1,1,0,0,3.12,1,0.639,29.6,LOW
Product Manager,IT,Project Management System,1,23.48,1,0,1,1,1,14.2,1,0.497,81.3,HIGH
QA Engineer,HR,Project Management System,1,8.53,0,1,1,1,0,3.16,1,0.743,5.9,LOW
Software Developer,IT,Finance System,3,18.27,0,1,1,0,0,0.38,1,0.685,27.4,LOW
System Administrator,Engineering,Project Management System,1,18.84,0,1,1,1,0,2.19,1,0.793,2.4,LOW
Software Developer,HR,Finance System,3,10.24,0,1,1,0,0,4.43,1,0.927,29.2,LOW
HR Specialist,Engineering,Admin Panel,4,23.37,1,0,0,0,5,8.05,1,0.419,99.1,HIGH
Contractor,IT,Finance System,3,8.6,0,1,1,0,0,1.48,1,0.616,35.0,MEDIUM
Software Developer,HR,Finance System,3,23.92,1,1,0,0,5,4.64,1,0.286,100.0,HIGH
DevOps Engineer,HR,HR Database,3,9.12,0,1,1,1,0,4.62,1,0.93,4.3,LOW
Finance Analyst,Engineering,HR Database,3,7.29,0,1,1,0,0,3.68,1,0.709,33.1,MEDIUM
System Administrator,Finance,Production Database,4,0.0,1,0,1,0,0,3.61,1,0.437,72.5,HIGH
Contractor,HR,GitHub Project Alpha,1,13.04,0,1,0,0,0,1.87,1,0.75,42.0,MEDIUM
Finance Analyst,Finance,Admin Panel,4,7.79,0,1,1,0,0,3.17,1,0.721,32.3,MEDIUM
HR Specialist,Engineering,HR Database,3,5.67,1,0,0,0,0,10.35,1,0.467,98.4,HIGH
DevOps Engineer,IT,HR Database,3,12.5,0,1,1,0,0,3.86,1,0.88,28.4,LOW
System Administrator,Product,Project Management System,1,7.35,0,1,1,1,0,4.83,1,0.901,5.0,LOW
Finance Analyst,HR,Admin Panel,4,21.77,1,0,0,0,4,11.39,1,0.377,97.0,HIGH
HR Specialist,HR,HR Database,3,19.65,0,1,1,1,0,4.77,1,0.855,9.5,LOW
DevOps Engineer,HR,GitHub Project Alpha,1,5.02,1,0,0,0,3,10.64,1,0.435,99.5,HIGH
HR Specialist,Finance,HR Database,3,9.83,0,1,1,0,0,4.17,1,0.709,28.0,LOW
System Administrator,HR,HR Database,3,8.59,0,1,1,1,0,4.65,1,0.826,11.5,LOW
DevOps Engineer,Engineering,Admin Panel,4,15.83,0,1,1,0,1,4.58,1,0.998,37.1,MEDIUM
Contractor,Engineering,Development Server,2,7.86,0,1,1,1,0,4.23,1,0.902,4.4,LOW
Finance Analyst,IT,HR Database,3,23.68,1,0,0,0,2,5.7,1,0.087,100.0,HIGH
Finance Analyst,Engineering,Project Management System,1,16.71,0,1,1,1,0,1.12,1,0.84,4.9,LOW
System Administrator,Engineering,Project Management System,1,17.74,0,1,1,1,0,3.76,1,0.796,1.4,LOW
HR Specialist,IT,Finance System,3,3.5,1,0,0,0,0,3.5,1,0.26,86.2,HIGH
Finance Analyst,Finance,GitHub Project Alpha,1,19.73,0,1,1,0,0,1.91,1,0.951,23.9,LOW
Product Manager,HR,Project Management System,1,5.15,1,1,0,1,5,11.68,1,0.024,100.0,HIGH
Software Developer,IT,Project Management System,1,3.22,1,1,0,1,2,14.93,1,0.472,85.0,HIGH
Finance Analyst,Engineering,GitHub Project Alpha,1,23.71,1,0,1,1,1,7.25,1,0.007,69.0,MEDIUM
HR Specialist,Engineering,Production Database,4,23.5,1,1,0,1,2,5.7,1,0.018,75.1,HIGH
Software Developer,Engineering,Development Server,2,18.65,0,1,1,1,0,3.68,1,0.833,8.1,LOW
Product Manager,HR,Project Management System,1,16.91,0,1,0,1,0,1.45,1,0.945,23.2,LOW
Software Developer,IT,HR Database,3,4.72,1,0,0,0,1,11.88,1,0.309,100.0,HIGH
Product Manager,Engineering,HR Database,3,15.29,0,1,1,0,0,4.6,1,0.953,28.6,LOW
System Administrator,HR,Production Database,4,14.78,0,1,1,0,0,1.48,1,0.815,28.9,LOW
HR Specialist,Engineering,GitHub Project Alpha,1,9.51,0,1,1,1,0,3.67,1,0.764,2.7,LOW
QA Engineer,Product,Admin Panel,4,0.54,1,1,1,0,2,14.15,1,0.283,100.0,HIGH
HR Specialist,IT,HR Database,3,16.7,0,1,1,0,0,2.07,1,0.949,25.6,LOW
QA Engineer,Engineering,HR Database,3,18.86,0,1,1,0,0,1.06,1,0.92,28.6,LOW
Product Manager,Finance,GitHub Project Alpha,1,5.14,1,0,0,0,4,5.63,1,0.36,100.0,HIGH
Finance Analyst,Finance,Project Management System,1,23.04,1,0,1,1,3,11.89,1,0.579,94.8,HIGH
System Administrator,Product,Development Server,2,11.98,0,1,1,0,0,0.94,1,0.808,23.5,LOW
Software Developer,HR,Project Management System,1,13.47,0,1,1,1,0,3.81,1,0.615,8.5,LOW
Contractor,Product,GitHub Project Alpha,1,8.28,0,1,1,1,1,2.17,1,0.941,11.0,LOW
Software Developer,HR,GitHub Project Alpha,1,17.96,0,1,1,0,0,4.33,1,0.694,26.3,LOW
Product Manager,Engineering,Project Management System,1,9.81,0,1,1,1,0,3.83,1,0.953,1.3,LOW
Product Manager,Engineering,HR Database,3,2.7,1,1,0,0,2,11.21,1,0.104,100.0,HIGH
Finance Analyst,Product,Project Management System,1,9.88,0,1,1,1,0,3.5,1,0.88,4.5,LOW
Contractor,Engineering,Production Database,4,17.43,0,1,1,1,0,3.75,1,0.672,13.4,LOW
DevOps Engineer,HR,Project Management System,1,7.62,0,1,1,1,0,0.48,1,0.647,7.9,LOW
System Administrator,Finance,HR Database,3,18.02,0,1,1,0,1,2.93,1,0.707,38.3,MEDIUM
System Administrator,Finance,Production Database,4,19.98,0,1,1,0,0,1.69,1,0.854,34.7,MEDIUM
Finance Analyst,Finance,Finance System,3,10.38,0,1,1,1,0,1.13,1,0.835,5.2,LOW
Finance Analyst,Engineering,Development Server,2,5.45,1,0,1,1,0,8.25,1,0.354,61.4,MEDIUM
Finance Analyst,Engineering,Finance System,3,7.74,0,1,1,0,0,2.16,1,0.982,28.5,LOW
Product Manager,Engineering,HR Database,3,2.58,1,1,0,0,3,12.09,1,0.068,100.0,HIGH
Finance Analyst,Product,Finance System,3,21.69,1,0,1,0,1,10.88,1,0.463,99.5,HIGH
Software Developer,HR,GitHub Project Alpha,1,3.43,1,0,0,0,3,14.88,1,0.074,100.0,HIGH
Contractor,HR,Development Server,2,11.97,0,1,1,0,1,2.13,1,0.736,33.7,MEDIUM
Product Manager,Finance,GitHub Project Alpha,1,7.19,0,1,1,0,1,0.07,1,0.682,36.2,MEDIUM
Contractor,IT,Production Database,4,21.75,1,0,0,1,4,6.99,1,0.307,100.0,HIGH
Contractor,Engineering,Project Management System,1,9.05,0,0,1,1,0,1.31,1,0.867,25.4,LOW
QA Engineer,Product,HR Database,3,23.56,1,0,1,0,5,13.86,1,0.289,100.0,HIGH
DevOps Engineer,Engineering,Project Management System,1,2.39,1,0,1,1,0,7.9,1,0.078,63.2,MEDIUM
Software Developer,HR,Finance System,3,7.18,0,1,1,0,1,1.14,1,0.815,36.4,MEDIUM
HR Specialist,Engineering,HR Database,3,2.45,1,1,0,0,3,7.3,1,0.125,100.0,HIGH
Software Developer,Engineering,Development Server,2,23.32,1,0,0,1,5,8.83,1,0.511,100.0,HIGH
Software Developer,HR,Project Management System,1,14.51,0,1,1,1,0,1.18,1,0.613,10.3,LOW
HR Specialist,Product,Project Management System,1,23.95,1,0,0,1,3,12.67,1,0.145,100.0,HIGH
DevOps Engineer,HR,Development Server,2,19.65,0,1,1,0,0,4.58,1,0.852,26.1,LOW
Software Developer,Product,Production Database,4,23.23,1,1,0,0,3,5.36,1,0.563,92.5,HIGH
Contractor,Finance,Production Database,4,8.59,0,1,1,0,0,4.6,1,0.906,31.5,MEDIUM
QA Engineer,Finance,GitHub Project Alpha,1,22.08,1,1,0,0,4,7.41,1,0.1,96.2,HIGH
DevOps Engineer,Product,Development Server,2,7.98,0,1,1,0,0,4.67,1,0.777,24.9,LOW
Product Manager,Engineering,HR Database,3,16.66,0,1,1,0,0,0.61,1,0.629,28.9,LOW
HR Specialist,Finance,Admin Panel,4,10.43,0,1,1,0,0,0.37,1,0.615,35.2,MEDIUM
HR Specialist,HR,Production Database,4,17.0,0,1,1,0,1,4.14,1,0.927,42.1,MEDIUM
HR Specialist,IT,Production Database,4,23.33,1,0,0,1,2,10.11,1,0.518,100.0,HIGH
Finance Analyst,Product,Project Management System,1,9.15,0,1,1,1,1,4.13,1,0.91,12.7,LOW
HR Specialist,IT,Production Database,4,18.89,0,1,1,1,1,4.84,1,0.749,22.3,LOW
QA Engineer,Finance,Production Database,4,2.21,1,0,0,0,3,6.14,1,0.302,100.0,HIGH
Finance Analyst,HR,Production Database,4,16.23,0,1,1,0,0,3.77,1,0.981,32.2,MEDIUM
Software Developer,Engineering,GitHub Project Alpha,1,15.63,0,1,1,1,0,0.76,1,0.941,1.7,LOW
Software Developer,IT,GitHub Project Alpha,1,17.2,0,1,1,0,0,4.58,1,0.683,22.3,LOW
Finance Analyst,IT,Project Management System,1,10.99,0,1,1,1,0,0.33,1,0.933,2.7,LOW
Contractor,HR,HR Database,3,23.22,1,0,0,1,5,4.49,1,0.148,99.1,HIGH
Contractor,HR,GitHub Project Alpha,1,0.58,1,0,0,0,2,12.74,1,0.099,100.0,HIGH
HR Specialist,Engineering,Finance System,3,17.06,0,1,1,0,1,4.02,1,0.807,34.8,MEDIUM
System Administrator,IT,Finance System,3,2.04,1,1,0,0,0,14.43,1,0.576,97.0,HIGH
System Administrator,Engineering,GitHub Project Alpha,1,12.89,0,0,1,1,0,3.12,1,0.633,29.4,LOW
HR Specialist,Product,HR Database,3,2.16,1,0,0,0,1,7.81,1,0.02,98.0,HIGH
Product Manager,IT,Project Management System,1,18.37,0,1,1,1,0,2.21,1,0.682,2.0,LOW
Contractor,Engineering,Admin Panel,4,22.42,1,0,0,0,2,14.79,1,0.261,99.0,HIGH
Product Manager,IT,Development Server,2,23.15,1,1,0,0,4,12.33,0,0.407,97.6,HIGH
HR Specialist,HR,Admin Panel,4,5.53,1,0,0,0,3,10.69,1,0.234,100.0,HIGH
Contractor,HR,GitHub Project Alpha,1,19.43,0,1,1,0,0,1.45,1,0.732,22.2,LOW
System Administrator,IT,Project Management System,1,5.84,1,0,1,1,5,12.98,1,0.205,100.0,HIGH
Software Developer,IT,Admin Panel,4,11.73,0,1,1,1,1,1.97,1,0.658,18.3,LOW
DevOps Engineer,IT,Production Database,4,12.36,0,1,1,1,0,1.11,1,0.671,16.2,LOW
Software Developer,HR,Production Database,4,9.31,0,1,1,0,0,4.07,1,0.977,30.2,MEDIUM
Contractor,IT,GitHub Project Alpha,1,2.6,1,0,0,0,3,10.68,1,0.36,97.0,HIGH
DevOps Engineer,Engineering,GitHub Project Alpha,1,12.24,0,1,1,1,0,1.4,1,0.991,6.0,LOW
Contractor,Engineering,Project Management System,1,14.37,0,1,1,1,1,1.33,1,0.777,16.7,LOW
Finance Analyst,Engineering,Finance System,3,17.85,0,1,1,0,0,2.4,1,0.629,29.5,LOW
DevOps Engineer,HR,Project Management System,1,21.48,1,1,0,1,5,3.94,1,0.021,88.0,HIGH
Finance Analyst,IT,Production Database,4,22.97,1,1,0,1,5,6.18,1,0.2,100.0,HIGH
System Administrator,Product,Project Management System,1,8.33,0,1,1,1,0,3.43,1,0.863,4.9,LOW
Product Manager,Product,Finance System,3,19.15,0,1,1,0,0,1.44,1,0.935,26.2,LOW
System Administrator,Product,Development Server,2,17.86,0,1,0,0,1,2.13,1,0.702,58.2,MEDIUM
Contractor,IT,HR Database,3,18.43,0,0,1,0,0,2.64,1,0.625,54.0,MEDIUM
DevOps Engineer,IT,HR Database,3,8.1,0,1,1,0,0,4.41,1,0.924,29.1,LOW
Finance Analyst,Product,Production Database,4,11.27,0,1,1,0,0,2.92,1,0.632,36.4,MEDIUM
QA Engineer,Finance,HR Database,3,12.45,0,1,1,0,0,1.02,1,0.948,25.6,LOW
QA Engineer,HR,HR Database,3,11.26,0,1,1,1,0,2.45,1,0.905,11.4,LOW
Product Manager,IT,Project Management System,1,17.71,0,1,1,1,0,3.41,1,0.729,9.0,LOW
Product Manager,IT,HR Database,3,23.44,1,0,1,0,4,12.93,0,0.042,99.2,HIGH
Contractor,HR,Development Server,2,7.8,0,1,1,0,0,4.17,1,0.953,23.0,LOW
QA Engineer,Finance,Production Database,4,19.53,0,1,1,0,0,1.55,1,0.725,29.7,LOW
System Administrator,Engineering,Finance System,3,9.68,0,1,1,0,1,3.09,1,0.935,34.0,MEDIUM
DevOps Engineer,Engineering,Project Management System,1,10.2,0,1,1,1,0,0.34,1,0.971,1.4,LOW
HR Specialist,Engineering,HR Database,3,2.81,1,0,0,0,1,4.5,1,0.427,98.8,HIGH
Product Manager,Engineering,Development Server,2,21.61,1,0,1,1,1,14.54,1,0.045,86.8,HIGH
Software Developer,Finance,HR Database,3,9.44,0,1,1,0,0,1.74,1,0.94,27.3,LOW
DevOps Engineer,Product,Production Database,4,3.39,1,0,0,0,3,10.12,1,0.162,97.5,HIGH
QA Engineer,IT,GitHub Project Alpha,1,13.38,0,1,1,0,0,0.14,1,0.723,22.4,LOW
Finance Analyst,IT,GitHub Project Alpha,1,4.17,1,1,0,0,0,4.29,1,0.037,68.4,MEDIUM
System Administrator,Finance,Development Server,2,11.33,0,1,1,0,1,0.51,1,0.856,35.7,MEDIUM
DevOps Engineer,Finance,Finance System,3,2.53,1,0,1,1,0,10.16,1,0.501,72.8,HIGH
Software Developer,Finance,Finance System,3,18.71,0,1,1,1,1,4.79,1,0.618,17.4,LOW
QA Engineer,IT,HR Database,3,21.14,1,1,1,0,0,8.98,1,0.492,64.9,MEDIUM
System Administrator,Product,Production Database,4,13.53,0,0,1,0,1,2.57,1,0.714,57.5,MEDIUM
DevOps Engineer,Product,GitHub Project Alpha,1,11.87,0,1,1,1,0,3.51,1,0.998,2.7,LOW
Contractor,Finance,GitHub Project Alpha,1,4.96,1,0,0,0,3,5.27,0,0.413,98.6,HIGH
System Administrator,HR,HR Database,3,19.16,0,1,1,1,0,3.68,1,0.661,12.2,LOW
HR Specialist,IT,Project Management System,1,23.78,1,1,1,1,0,12.26,1,0.256,51.3,MEDIUM
Contractor,IT,Development Server,2,9.23,0,1,1,0,0,1.76,1,0.66,25.3,LOW
HR Specialist,Finance,GitHub Project Alpha,1,13.96,0,1,1,0,0,1.84,1,0.861,24.1,LOW
HR Specialist,HR,Admin Panel,4,22.36,1,1,0,0,4,9.03,1,0.585,100.0,HIGH
Software Developer,Engineering,GitHub Project Alpha,1,8.17,0,1,1,1,1,2.35,1,0.777,9.3,LOW
QA Engineer,Product,GitHub Project Alpha,1,17.82,0,1,1,1,0,2.55,1,0.943,0.9,LOW
DevOps Engineer,HR,Production Database,4,14.15,0,1,1,0,1,3.21,1,0.723,37.6,MEDIUM
System Administrator,Finance,HR Database,3,10.27,0,1,1,0,0,4.71,1,0.706,32.6,MEDIUM
Contractor,Finance,Project Management System,1,21.38,1,0,0,1,2,10.2,1,0.105,100.0,HIGH
HR Specialist,Product,GitHub Project Alpha,1,17.54,0,1,1,1,0,4.35,1,0.656,8.3,LOW
Product Manager,Engineering,Admin Panel,4,12.4,0,1,1,0,0,1.82,1,0.947,28.9,LOW
QA Engineer,HR,Production Database,4,9.23,0,1,1,0,0,1.44,1,0.862,34.9,MEDIUM
Product Manager,Product,Development Server,2,4.89,1,0,0,0,5,8.8,1,0.336,100.0,HIGH
QA Engineer,Finance,Production Database,4,7.62,0,1,1,0,0,0.32,1,0.902,31.3,MEDIUM
HR Specialist,Finance,Project Management System,1,18.96,0,1,1,1,0,2.37,1,0.813,6.0,LOW
DevOps Engineer,IT,Finance System,3,9.9,0,1,1,0,1,3.97,1,0.877,38.3,MEDIUM
QA Engineer,Product,Finance System,3,22.78,1,0,0,0,4,10.58,1,0.191,100.0,HIGH
HR Specialist,Engineering,GitHub Project Alpha,1,22.37,1,1,0,1,4,7.38,1,0.39,87.9,HIGH
HR Specialist,Product,HR Database,3,16.1,0,1,1,0,0,1.27,1,0.634,30.6,MEDIUM
QA Engineer,Finance,GitHub Project Alpha,1,11.98,0,1,1,0,1,4.98,1,0.865,31.7,MEDIUM
Product Manager,Product,Admin Panel,4,8.35,0,1,1,0,0,1.85,1,0.909,32.5,MEDIUM
QA Engineer,Engineering,Production Database,4,9.72,0,1,1,1,1,3.43,1,0.976,18.0,LOW
Contractor,Product,HR Database,3,10.28,0,0,1,0,0,0.69,1,0.914,50.4,MEDIUM
HR Specialist,Finance,Project Management System,1,23.04,1,0,0,1,3,10.6,0,0.135,100.0,HIGH
QA Engineer,Product,Finance System,3,5.14,1,0,1,0,0,12.04,0,0.492,99.9,HIGH
Finance Analyst,Product,HR Database,3,17.67,0,1,1,0,0,4.04,1,0.869,29.2,LOW
HR Specialist,Product,Finance System,3,19.72,0,1,1,0,1,4.88,1,0.655,42.9,MEDIUM
Finance Analyst,HR,Production Database,4,10.93,0,1,1,0,0,0.2,1,0.804,31.4,MEDIUM
Contractor,HR,Project Management System,1,16.22,0,1,1,1,0,3.09,1,0.824,3.9,LOW
QA Engineer,HR,Development Server,2,12.43,0,1,1,0,0,2.0,1,0.98,23.3,LOW
Product Manager,IT,Production Database,4,10.45,0,1,1,1,0,0.74,1,0.995,12.8,LOW
QA Engineer,Engineering,GitHub Project Alpha,1,19.1,0,1,1,1,1,1.35,1,0.695,13.9,LOW
Software Developer,Engineering,Production Database,4,3.83,1,0,0,1,0,12.53,1,0.473,97.8,HIGH
HR Specialist,Product,HR Database,3,13.95,0,1,0,0,0,3.31,1,0.797,49.3,MEDIUM
DevOps Engineer,IT,Admin Panel,4,17.33,0,1,1,1,0,2.26,1,0.63,17.2,LOW
Contractor,IT,Development Server,2,21.57,1,0,1,0,3,14.73,1,0.144,98.4,HIGH
Product Manager,Engineering,Production Database,4,7.22,0,1,1,1,1,2.64,1,0.622,20.1,LOW
DevOps Engineer,Engineering,Finance System,3,4.56,1,0,1,0,4,14.54,1,0.44,100.0,HIGH
DevOps Engineer,Product,Production Database,4,8.53,0,1,1,0,0,0.87,1,0.7,36.8,MEDIUM
HR Specialist,HR,Project Management System,1,14.45,0,1,1,1,0,2.69,1,0.692,6.9,LOW
DevOps Engineer,IT,Finance System,3,8.89,0,1,1,0,0,1.29,1,0.841,29.4,LOW
HR Specialist,IT,Production Database,4,11.48,0,1,1,1,0,3.9,1,0.983,13.1,LOW
DevOps Engineer,Product,Admin Panel,4,9.92,0,1,1,0,0,4.34,1,0.669,35.1,MEDIUM
System Administrator,Engineering,Project Management System,1,5.91,1,0,1,1,4,14.3,1,0.023,97.7,HIGH
HR Specialist,Finance,Production Database,4,5.38,1,0,0,0,4,8.89,1,0.068,100.0,HIGH
System Administrator,Product,Project Management System,1,2.38,1,0,0,1,3,11.58,1,0.51,100.0,HIGH
Software Developer,IT,HR Database,3,14.64,0,1,1,0,0,1.29,1,0.946,31.5,MEDIUM
Product Manager,Product,Production Database,4,4.41,1,0,0,0,1,9.44,1,0.523,100.0,HIGH
Contractor,HR,Production Database,4,2.84,1,0,0,0,5,11.87,0,0.505,99.8,HIGH
Finance Analyst,HR,Admin Panel,4,7.22,0,1,1,0,0,1.92,1,0.908,26.9,LOW
System Administrator,Finance,Production Database,4,1.26,1,1,0,0,4,3.03,1,0.305,96.9,HIGH
QA Engineer,HR,Production Database,4,4.61,1,1,1,0,2,11.41,1,0.202,100.0,HIGH
Finance Analyst,IT,Project Management System,1,14.09,0,0,0,1,0,3.52,1,0.602,42.8,MEDIUM
Software Developer,Finance,Finance System,3,11.83,0,1,1,1,0,1.1,1,0.944,11.3,LOW
DevOps Engineer,Finance,Admin Panel,4,17.59,0,1,1,0,0,4.55,1,0.997,27.3,LOW
System Administrator,IT,Project Management System,1,22.24,1,0,1,1,3,6.73,1,0.353,73.3,HIGH
