role,department,employment_type,resource,dept_matches_resource,role_eligible_for_critical,resource_sensitivity,has_relevant_cert,project_assigned,employment_is_contractor,employment_is_intern,contract_duration_days,previously_approved_similar,label
Product Manager,Finance,Contractor,Project Management System,1,1,1,0,0,1,0,30,0,ALLOW
System Administrator,Product,Contractor,Admin Panel,0,1,4,1,1,1,0,90,0,DENY
Software Developer,Engineering,Contractor,Production Database,1,0,4,1,1,1,0,180,0,DENY
DevOps Engineer,Product,Contractor,GitHub Project Alpha,1,1,1,0,1,1,0,180,1,ALLOW
Software Developer,Engineering,Employee,Development Server,1,1,2,0,0,0,0,14,0,REVIEW
Contractor,IT,Employee,HR Database,0,1,3,0,1,0,0,90,0,DENY
DevOps Engineer,Finance,Intern,GitHub Project Alpha,0,1,1,0,1,0,1,30,0,DENY
Product Manager,Finance,Contractor,GitHub Project Alpha,0,1,1,0,0,1,0,30,0,DENY
QA Engineer,HR,Intern,Project Management System,1,1,1,0,0,0,1,365,0,REVIEW
Product Manager,Product,Employee,Finance System,0,1,3,0,1,0,0,30,1,DENY
System Administrator,Product,Intern,Finance System,0,1,3,0,1,0,1,60,0,DENY
Software Developer,HR,Intern,Finance System,0,1,3,1,0,0,1,180,0,DENY
System Administrator,Engineering,Intern,GitHub Project Alpha,1,1,1,0,0,0,1,180,0,REVIEW
Software Developer,HR,Employee,Project Management System,1,1,1,1,1,0,0,14,0,ALLOW
Finance Analyst,Engineering,Intern,Production Database,1,0,4,0,1,0,1,180,0,DENY
HR Specialist,Engineering,Employee,Production Database,1,0,4,1,0,0,0,180,0,DENY
Contractor,Engineering,Employee,Development Server,1,1,2,0,1,0,0,7,0,ALLOW
Finance Analyst,Finance,Intern,Production Database,0,0,4,0,0,0,1,365,0,DENY
HR Specialist,Product,Intern,Development Server,0,1,2,1,1,0,1,7,1,DENY
QA Engineer,Engineering,Employee,GitHub Project Alpha,1,1,1,1,0,0,0,90,1,ALLOW
Contractor,Product,Employee,HR Database,0,1,3,0,1,0,0,90,0,DENY
QA Engineer,Product,Intern,Production Database,0,0,4,0,0,0,1,7,0,DENY
Finance Analyst,HR,Intern,Development Server,0,1,2,0,1,0,1,90,0,DENY
Product Manager,Product,Employee,Admin Panel,0,0,4,1,1,0,0,30,1,DENY
Product Manager,Finance,Intern,GitHub Project Alpha,0,1,1,1,1,0,1,90,0,DENY
QA Engineer,HR,Contractor,Project Management System,1,1,1,0,1,1,0,180,0,ALLOW
QA Engineer,Engineering,Contractor,Admin Panel,0,0,4,1,1,1,0,180,0,DENY
HR Specialist,Product,Contractor,HR Database,0,1,3,0,0,1,0,365,0,DENY
QA Engineer,Engineering,Intern,Project Management System,1,1,1,1,0,0,1,365,1,REVIEW
DevOps Engineer,IT,Contractor,GitHub Project Alpha,0,1,1,1,0,1,0,7,0,DENY
Contractor,Product,Intern,GitHub Project Alpha,1,1,1,0,0,0,1,180,0,REVIEW
QA Engineer,HR,Contractor,Admin Panel,0,0,4,0,1,1,0,7,1,DENY
Software Developer,HR,Intern,Project Management System,1,1,1,0,0,0,1,180,0,REVIEW
QA Engineer,Finance,Employee,GitHub Project Alpha,0,1,1,0,0,0,0,365,0,DENY
Product Manager,Finance,Employee,Project Management System,1,1,1,1,1,0,0,7,0,ALLOW
Software Developer,Product,Intern,HR Database,0,1,3,0,1,0,1,90,0,DENY
Contractor,Product,Contractor,Development Server,0,1,2,0,0,1,0,14,1,DENY
Product Manager,Finance,Intern,Admin Panel,0,0,4,1,1,0,1,7,1,DENY
Product Manager,Product,Intern,Finance System,0,1,3,1,0,0,1,14,0,DENY
Product Manager,IT,Employee,GitHub Project Alpha,0,1,1,1,0,0,0,14,0,DENY
Finance Analyst,IT,Contractor,Development Server,0,1,2,0,0,1,0,90,0,DENY
DevOps Engineer,Finance,Contractor,Development Server,0,1,2,0,0,1,0,180,0,DENY
Contractor,Product,Intern,Production Database,0,0,4,1,0,0,1,60,0,DENY
Software Developer,Engineering,Employee,Project Management System,1,1,1,1,1,0,0,365,0,ALLOW
QA Engineer,Engineering,Contractor,Project Management System,1,1,1,0,1,1,0,60,0,ALLOW
QA Engineer,Product,Contractor,Admin Panel,0,0,4,1,0,1,0,90,0,DENY
Product Manager,HR,Employee,Development Server,0,1,2,1,1,0,0,90,0,DENY
QA Engineer,HR,Contractor,HR Database,1,1,3,1,0,1,0,60,1,ALLOW
QA Engineer,Engineering,Employee,Admin Panel,0,0,4,0,1,0,0,90,0,DENY
DevOps Engineer,Product,Contractor,Production Database,0,1,4,0,1,1,0,60,0,DENY
System Administrator,Engineering,Employee,Finance System,0,1,3,0,1,0,0,7,0,DENY
Product Manager,IT,Employee,Admin Panel,1,0,4,1,1,0,0,14,0,DENY
Software Developer,Product,Employee,Project Management System,1,1,1,1,1,0,0,14,0,ALLOW
DevOps Engineer,Finance,Contractor,Finance System,1,1,3,0,0,1,0,60,0,REVIEW
QA Engineer,Finance,Contractor,GitHub Project Alpha,0,1,1,0,0,1,0,7,0,DENY
System Administrator,Product,Contractor,Development Server,0,1,2,1,0,1,0,180,0,DENY
HR Specialist,Engineering,Intern,Project Management System,1,1,1,1,0,0,1,7,1,REVIEW
Finance Analyst,Product,Employee,Finance System,0,1,3,0,1,0,0,7,0,DENY
Product Manager,Product,Intern,Finance System,0,1,3,1,0,0,1,7,0,DENY
System Administrator,Product,Contractor,Development Server,0,1,2,1,0,1,0,30,0,DENY
DevOps Engineer,IT,Contractor,GitHub Project Alpha,0,1,1,1,0,1,0,30,0,DENY
Finance Analyst,HR,Contractor,Finance System,0,1,3,0,0,1,0,365,0,DENY
Contractor,HR,Intern,Admin Panel,0,0,4,0,1,0,1,14,0,DENY
System Administrator,IT,Employee,HR Database,0,1,3,0,0,0,0,60,0,DENY
QA Engineer,Engineering,Intern,GitHub Project Alpha,1,1,1,0,1,0,1,180,0,ALLOW
Finance Analyst,Product,Intern,Development Server,0,1,2,0,1,0,1,365,0,DENY
Contractor,IT,Intern,Project Management System,1,1,1,0,1,0,1,180,1,ALLOW
Software Developer,Product,Intern,Production Database,0,0,4,1,1,0,1,7,1,DENY
Product Manager,Engineering,Contractor,GitHub Project Alpha,1,1,1,0,1,1,0,30,0,ALLOW
Product Manager,HR,Employee,Finance System,0,1,3,0,0,0,0,365,0,DENY
System Administrator,Finance,Contractor,Project Management System,1,1,1,1,1,1,0,365,0,ALLOW
Finance Analyst,Engineering,Employee,Production Database,1,0,4,0,1,0,0,365,0,DENY
HR Specialist,IT,Employee,Project Management System,1,1,1,0,1,0,0,60,0,ALLOW
Product Manager,Engineering,Employee,GitHub Project Alpha,1,1,1,0,0,0,0,14,0,ALLOW
Product Manager,IT,Contractor,Development Server,0,1,2,0,0,1,0,180,1,DENY
Software Developer,Finance,Employee,GitHub Project Alpha,0,1,1,0,0,0,0,90,1,DENY
QA Engineer,Product,Intern,Production Database,0,0,4,1,1,0,1,60,0,DENY
Software Developer,IT,Employee,GitHub Project Alpha,0,1,1,0,1,0,0,7,0,DENY
System Administrator,HR,Employee,Project Management System,1,1,1,1,1,0,0,365,0,ALLOW
System Administrator,Product,Contractor,Project Management System,1,1,1,1,0,1,0,180,1,ALLOW
Software Developer,HR,Contractor,Production Database,0,0,4,1,1,1,0,365,1,DENY
QA Engineer,Engineering,Employee,Production Database,1,0,4,1,1,0,0,365,0,DENY
System Administrator,Finance,Contractor,GitHub Project Alpha,0,1,1,1,1,1,0,30,0,DENY
HR Specialist,Engineering,Intern,Project Management System,1,1,1,0,0,0,1,365,0,REVIEW
Software Developer,HR,Employee,Development Server,0,1,2,0,0,0,0,180,1,DENY
System Administrator,IT,Intern,Admin Panel,1,1,4,1,1,0,1,60,1,ALLOW
Product Manager,IT,Intern,Development Server,0,1,2,0,0,0,1,180,1,DENY
DevOps Engineer,Engineering,Contractor,Finance System,0,1,3,1,0,1,0,365,1,DENY
Software Developer,IT,Contractor,Development Server,0,1,2,1,1,1,0,365,0,DENY
HR Specialist,IT,Contractor,Production Database,1,0,4,0,0,1,0,7,0,DENY
QA Engineer,Product,Employee,HR Database,0,1,3,1,1,0,0,14,0,DENY
DevOps Engineer,Finance,Contractor,HR Database,0,1,3,1,0,1,0,14,0,DENY
Software Developer,HR,Contractor,Development Server,0,1,2,1,0,1,0,365,1,DENY
HR Specialist,HR,Contractor,Finance System,0,1,3,0,1,1,0,60,0,DENY
HR Specialist,Finance,Contractor,Admin Panel,0,0,4,0,0,1,0,30,0,DENY
Product Manager,IT,Contractor,Project Management System,1,1,1,1,0,1,0,90,0,ALLOW
QA Engineer,Product,Employee,Finance System,0,1,3,1,0,0,0,14,1,DENY
Product Manager,Engineering,Contractor,Finance System,0,1,3,0,1,1,0,60,1,DENY
Product Manager,IT,Intern,Finance System,0,1,3,0,1,0,1,14,0,DENY
Software Developer,Finance,Employee,Development Server,0,1,2,0,0,0,0,60,0,DENY
Product Manager,Engineering,Intern,Development Server,1,1,2,0,1,0,1,60,0,ALLOW
HR Specialist,Finance,Contractor,Admin Panel,0,0,4,0,0,1,0,60,0,DENY
Software Developer,Product,Intern,Finance System,0,1,3,1,0,0,1,180,0,DENY
Product Manager,HR,Employee,GitHub Project Alpha,0,1,1,0,1,0,0,7,1,DENY
System Administrator,Product,Employee,Development Server,0,1,2,1,1,0,0,365,0,DENY
Software Developer,Engineering,Employee,Development Server,1,1,2,1,1,0,0,365,1,ALLOW
Finance Analyst,HR,Contractor,Finance System,0,1,3,0,1,1,0,30,0,DENY
HR Specialist,HR,Intern,Development Server,0,1,2,0,0,0,1,7,0,DENY
Finance Analyst,HR,Contractor,Finance System,0,1,3,0,0,1,0,60,0,DENY
QA Engineer,Product,Intern,Development Server,0,1,2,1,0,0,1,365,1,DENY
QA Engineer,HR,Employee,Finance System,0,1,3,1,1,0,0,365,0,DENY
QA Engineer,IT,Employee,Development Server,0,1,2,0,0,0,0,14,0,DENY
Finance Analyst,Finance,Employee,Production Database,0,0,4,0,0,0,0,7,0,DENY
Contractor,IT,Intern,Admin Panel,1,0,4,0,0,0,1,7,0,DENY
HR Specialist,HR,Intern,Admin Panel,0,0,4,1,0,0,1,90,0,DENY
Product Manager,Engineering,Employee,Project Management System,1,1,1,1,0,0,0,60,0,ALLOW
QA Engineer,Finance,Employee,Finance System,1,1,3,0,0,0,0,60,0,REVIEW
DevOps Engineer,Finance,Intern,Development Server,0,1,2,0,0,0,1,7,1,DENY
DevOps Engineer,IT,Employee,Production Database,1,1,4,0,0,0,0,7,1,REVIEW
Contractor,Product,Contractor,Production Database,0,0,4,1,1,1,0,30,0,DENY
QA Engineer,Engineering,Intern,Admin Panel,0,0,4,1,1,0,1,365,0,DENY
Contractor,Finance,Contractor,Admin Panel,0,0,4,0,1,1,0,60,1,DENY
Contractor,Engineering,Contractor,Development Server,1,1,2,1,1,1,0,7,0,ALLOW
Finance Analyst,Engineering,Contractor,Project Management System,1,1,1,1,1,1,0,7,1,ALLOW
Software Developer,HR,Contractor,Admin Panel,0,0,4,0,1,1,0,7,1,DENY
DevOps Engineer,Finance,Intern,Development Server,0,1,2,1,1,0,1,14,1,DENY
Software Developer,Engineering,Intern,Development Server,1,1,2,0,1,0,1,14,0,ALLOW
Software Developer,Engineering,Contractor,Admin Panel,0,0,4,0,1,1,0,14,1,DENY
DevOps Engineer,HR,Intern,Finance System,0,1,3,1,1,0,1,14,0,DENY
Product Manager,IT,Contractor,Production Database,1,0,4,1,1,1,0,365,0,DENY
Software Developer,IT,Contractor,HR Database,0,1,3,1,1,1,0,180,0,DENY
Software Developer,HR,Employee,HR Database,1,1,3,0,0,0,0,30,0,REVIEW
Product Manager,Engineering,Employee,HR Database,0,1,3,1,1,0,0,14,0,DENY
Finance Analyst,IT,Contractor,Admin Panel,1,0,4,0,1,1,0,7,1,DENY
DevOps Engineer,IT,Intern,Admin Panel,1,0,4,0,1,0,1,90,0,DENY
Software Developer,IT,Intern,Admin Panel,1,0,4,0,1,0,1,30,0,DENY
DevOps Engineer,IT,Employee,HR Database,0,1,3,1,1,0,0,180,0,DENY
HR Specialist,IT,Intern,Admin Panel,1,0,4,1,0,0,1,365,0,DENY
DevOps Engineer,Product,Employee,HR Database,0,1,3,1,0,0,0,365,0,DENY
HR Specialist,Product,Contractor,Development Server,0,1,2,1,0,1,0,30,1,DENY
Product Manager,IT,Employee,HR Database,0,1,3,0,0,0,0,90,0,DENY
Contractor,HR,Employee,Project Management System,1,1,1,0,0,0,0,14,0,ALLOW
HR Specialist,Engineering,Contractor,Admin Panel,0,0,4,0,1,1,0,180,1,DENY
DevOps Engineer,Engineering,Contractor,HR Database,0,1,3,0,0,1,0,30,0,DENY
Product Manager,Engineering,Intern,HR Database,0,1,3,0,1,0,1,7,0,DENY
Product Manager,HR,Intern,Admin Panel,0,0,4,1,1,0,1,180,0,DENY
Contractor,HR,Contractor,Project Management System,1,1,1,1,0,1,0,180,0,ALLOW
Finance Analyst,Finance,Contractor,Development Server,0,1,2,0,1,1,0,30,1,DENY
Finance Analyst,Engineering,Employee,Finance System,0,1,3,1,0,0,0,14,1,DENY
QA Engineer,Finance,Intern,GitHub Project Alpha,0,1,1,0,1,0,1,14,1,DENY
Product Manager,Product,Intern,Finance System,0,1,3,1,0,0,1,30,0,DENY
QA Engineer,Engineering,Employee,Development Server,1,1,2,1,1,0,0,14,1,ALLOW
Contractor,Product,Employee,Admin Panel,0,0,4,0,1,0,0,30,0,DENY
Product Manager,HR,Contractor,Finance System,0,1,3,0,0,1,0,60,0,DENY
QA Engineer,Product,Employee,Finance System,0,1,3,1,0,0,0,180,0,DENY
Software Developer,HR,Employee,Production Database,0,0,4,1,1,0,0,180,0,DENY
Software Developer,HR,Intern,HR Database,1,1,3,0,1,0,1,180,1,REVIEW
Software Developer,HR,Employee,Production Database,0,0,4,0,0,0,0,7,0,DENY
HR Specialist,Product,Contractor,Production Database,0,0,4,0,0,1,0,7,0,DENY
HR Specialist,IT,Intern,Development Server,0,1,2,0,1,0,1,60,0,DENY
Contractor,IT,Intern,Project Management System,1,1,1,1,1,0,1,90,1,ALLOW
HR Specialist,HR,Employee,Admin Panel,0,0,4,0,1,0,0,180,0,DENY
System Administrator,Finance,Contractor,Admin Panel,0,1,4,0,0,1,0,30,0,DENY
Product Manager,Finance,Employee,GitHub Project Alpha,0,1,1,1,1,0,0,14,0,DENY
Software Developer,HR,Intern,HR Database,1,1,3,1,1,0,1,30,0,REVIEW
DevOps Engineer,Engineering,Employee,Project Management System,1,1,1,0,1,0,0,30,0,ALLOW
Product Manager,IT,Intern,Finance System,0,1,3,0,1,0,1,90,1,DENY
Finance Analyst,Finance,Contractor,Finance System,1,1,3,1,1,1,0,180,0,ALLOW
Software Developer,Finance,Contractor,Production Database,0,0,4,0,1,1,0,90,0,DENY
Software Developer,Engineering,Employee,Admin Panel,0,0,4,1,1,0,0,60,0,DENY
Contractor,Engineering,Contractor,Production Database,1,0,4,1,1,1,0,60,0,DENY
Finance Analyst,IT,Employee,HR Database,0,1,3,1,1,0,0,14,1,DENY
Product Manager,Product,Intern,HR Database,0,1,3,0,1,0,1,7,0,DENY
QA Engineer,Product,Employee,Development Server,0,1,2,0,1,0,0,60,0,DENY
Finance Analyst,Product,Intern,Development Server,0,1,2,1,0,0,1,180,0,DENY
HR Specialist,Product,Intern,HR Database,0,1,3,1,0,0,1,180,0,DENY
System Administrator,IT,Intern,GitHub Project Alpha,0,1,1,0,0,0,1,365,0,DENY
Product Manager,Product,Intern,Finance System,0,1,3,0,1,0,1,60,1,DENY
QA Engineer,Finance,Intern,HR Database,0,1,3,0,0,0,1,365,0,DENY
HR Specialist,HR,Intern,Development Server,0,1,2,1,1,0,1,90,1,DENY
Product Manager,IT,Contractor,Development Server,0,1,2,1,1,1,0,365,0,DENY
HR Specialist,Product,Contractor,Project Management System,1,1,1,1,1,1,0,365,0,ALLOW
HR Specialist,IT,Contractor,Production Database,1,0,4,1,1,1,0,7,1,DENY
QA Engineer,Product,Employee,HR Database,0,1,3,0,0,0,0,365,1,DENY
DevOps Engineer,IT,Employee,GitHub Project Alpha,0,1,1,0,0,0,0,90,0,DENY
Contractor,HR,Intern,Finance System,0,1,3,0,1,0,1,90,0,DENY
Software Developer,Finance,Contractor,Admin Panel,0,0,4,1,1,1,0,90,0,DENY
Finance Analyst,IT,Contractor,Admin Panel,1,0,4,0,0,1,0,180,0,DENY
Product Manager,HR,Employee,GitHub Project Alpha,0,1,1,1,0,0,0,7,0,DENY
QA Engineer,Engineering,Intern,GitHub Project Alpha,1,1,1,0,0,0,1,90,0,REVIEW
Software Developer,Engineering,Intern,Production Database,1,0,4,0,1,0,1,7,0,DENY
Product Manager,HR,Employee,Project Management System,1,1,1,0,1,0,0,14,0,ALLOW
QA Engineer,Engineering,Contractor,Production Database,1,0,4,1,1,1,0,60,0,DENY
HR Specialist,IT,Contractor,Finance System,0,1,3,1,0,1,0,180,0,DENY
Contractor,Product,Employee,Production Database,0,0,4,0,0,0,0,7,1,DENY
Contractor,HR,Contractor,GitHub Project Alpha,0,1,1,1,1,1,0,7,1,DENY
Software Developer,IT,Intern,Production Database,1,0,4,0,1,0,1,30,0,DENY
Product Manager,Engineering,Contractor,Admin Panel,0,0,4,1,1,1,0,365,1,DENY
Finance Analyst,HR,Intern,Project Management System,1,1,1,0,0,0,1,30,1,REVIEW
Contractor,IT,Contractor,Production Database,1,0,4,0,1,1,0,180,1,DENY
Software Developer,Engineering,Intern,Admin Panel,0,0,4,1,0,0,1,60,0,DENY
DevOps Engineer,Engineering,Intern,Development Server,1,1,2,1,0,0,1,180,0,REVIEW
System Administrator,IT,Intern,Admin Panel,1,1,4,0,0,0,1,60,0,REVIEW
Software Developer,HR,Intern,Production Database,0,0,4,1,1,0,1,180,0,DENY
DevOps Engineer,Product,Employee,GitHub Project Alpha,1,1,1,0,1,0,0,60,0,ALLOW
Contractor,IT,Contractor,Finance System,0,1,3,0,1,1,0,365,1,DENY
DevOps Engineer,IT,Contractor,Project Management System,1,1,1,0,0,1,0,90,0,ALLOW
Finance Analyst,Engineering,Employee,Production Database,1,0,4,0,1,0,0,30,1,DENY
Software Developer,IT,Intern,Finance System,0,1,3,1,0,0,1,90,0,DENY
Finance Analyst,Finance,Intern,Admin Panel,0,0,4,1,1,0,1,7,0,DENY
System Administrator,Product,Intern,GitHub Project Alpha,1,1,1,0,1,0,1,14,0,ALLOW
QA Engineer,Product,Intern,Production Database,0,0,4,1,1,0,1,7,0,DENY
Finance Analyst,HR,Contractor,Project Management System,1,1,1,0,1,1,0,14,0,ALLOW
QA Engineer,IT,Employee,Production Database,1,0,4,0,1,0,0,365,1,DENY
Product Manager,IT,Intern,Production Database,1,0,4,1,1,0,1,14,0,DENY
HR Specialist,Engineering,Contractor,GitHub Project Alpha,1,1,1,1,0,1,0,90,1,ALLOW
DevOps Engineer,Product,Intern,Finance System,0,1,3,1,0,0,1,365,0,DENY
Product Manager,HR,Intern,Project Management System,1,1,1,0,1,0,1,7,1,ALLOW
Contractor,HR,Employee,Development Server,0,1,2,1,1,0,0,7,0,DENY
Finance Analyst,Product,Contractor,HR Database,0,1,3,1,1,1,0,60,1,DENY
Software Developer,Finance,Contractor,Admin Panel,0,0,4,0,1,1,0,365,0,DENY
QA Engineer,Engineering,Employee,Finance System,0,1,3,1,1,0,0,60,0,DENY
Finance Analyst,Engineering,Employee,GitHub Project Alpha,1,1,1,1,1,0,0,60,0,ALLOW
Software Developer,IT,Intern,Development Server,0,1,2,1,0,0,1,30,0,DENY
System Administrator,IT,Contractor,Development Server,0,1,2,1,1,1,0,90,0,DENY
Product Manager,Engineering,Intern,Production Database,1,0,4,0,0,0,1,7,0,DENY
Finance Analyst,Finance,Employee,GitHub Project Alpha,0,1,1,0,0,0,0,365,0,DENY
HR Specialist,Product,Employee,GitHub Project Alpha,1,1,1,0,1,0,0,60,0,ALLOW
Product Manager,Engineering,Intern,Production Database,1,0,4,1,1,0,1,180,0,DENY
Software Developer,Engineering,Intern,Development Server,1,1,2,1,0,0,1,14,0,REVIEW
Software Developer,HR,Employee,GitHub Project Alpha,0,1,1,0,0,0,0,30,0,DENY
QA Engineer,Engineering,Contractor,Project Management System,1,1,1,1,1,1,0,180,1,ALLOW
QA Engineer,Engineering,Contractor,Development Server,1,1,2,0,0,1,0,14,0,REVIEW
QA Engineer,HR,Intern,Finance System,0,1,3,0,1,0,1,60,0,DENY
Finance Analyst,Finance,Contractor,Admin Panel,0,0,4,0,0,1,0,365,0,DENY
Product Manager,Product,Employee,GitHub Project Alpha,1,1,1,1,0,0,0,90,0,ALLOW
QA Engineer,IT,Employee,Production Database,1,0,4,1,0,0,0,90,0,DENY
QA Engineer,IT,Contractor,GitHub Project Alpha,0,1,1,0,1,1,0,180,1,DENY
HR Specialist,HR,Intern,HR Database,1,1,3,0,0,0,1,30,0,REVIEW
DevOps Engineer,HR,Contractor,Admin Panel,0,0,4,1,1,1,0,14,1,DENY
DevOps Engineer,Engineering,Intern,Project Management System,1,1,1,1,0,0,1,365,0,REVIEW
Product Manager,HR,Employee,Finance System,0,1,3,0,0,0,0,30,0,DENY
Contractor,Finance,Employee,GitHub Project Alpha,0,1,1,0,0,0,0,60,0,DENY
DevOps Engineer,Finance,Contractor,Admin Panel,0,0,4,0,0,1,0,365,0,DENY
Contractor,IT,Contractor,Project Management System,1,1,1,1,1,1,0,365,0,ALLOW
Finance Analyst,Finance,Intern,Admin Panel,0,0,4,0,1,0,1,14,1,DENY
System Administrator,HR,Employee,Development Server,0,1,2,1,1,0,0,365,1,DENY
Finance Analyst,IT,Employee,HR Database,0,1,3,0,0,0,0,180,0,DENY
System Administrator,Finance,Contractor,Production Database,0,1,4,0,0,1,0,30,0,DENY
HR Specialist,HR,Employee,Development Server,0,1,2,1,1,0,0,60,1,DENY
Software Developer,Finance,Intern,GitHub Project Alpha,0,1,1,0,1,0,1,90,0,DENY
Contractor,HR,Contractor,Project Management System,1,1,1,1,1,1,0,365,0,ALLOW
Software Developer,IT,Intern,Project Management System,1,1,1,1,0,0,1,30,0,REVIEW
System Administrator,Product,Contractor,Development Server,0,1,2,0,1,1,0,180,1,DENY
Product Manager,Engineering,Employee,Production Database,1,0,4,1,0,0,0,60,1,DENY
System Administrator,HR,Contractor,Finance System,0,1,3,0,1,1,0,180,0,DENY
Contractor,Finance,Contractor,Production Database,0,0,4,0,0,1,0,90,0,DENY
Finance Analyst,Finance,Intern,Finance System,1,1,3,0,0,0,1,60,0,REVIEW
Contractor,Product,Employee,Development Server,0,1,2,0,0,0,0,90,0,DENY
HR Specialist,IT,Intern,Development Server,0,1,2,0,0,0,1,30,0,DENY
Software Developer,Engineering,Employee,Finance System,0,1,3,0,1,0,0,60,0,DENY
DevOps Engineer,IT,Employee,Development Server,0,1,2,1,1,0,0,365,0,DENY
Software Developer,Finance,Employee,Finance System,1,1,3,1,0,0,0,30,0,REVIEW
Product Manager,Finance,Intern,HR Database,0,1,3,0,0,0,1,90,0,DENY
Contractor,Product,Intern,Production Database,0,0,4,0,0,0,1,30,0,DENY
Product Manager,HR,Intern,Production Database,0,0,4,1,0,0,1,7,0,DENY
Contractor,Finance,Intern,Development Server,0,1,2,0,1,0,1,365,0,DENY
QA Engineer,Product,Employee,Production Database,0,0,4,0,0,0,0,14,1,DENY
QA Engineer,Product,Intern,Production Database,0,0,4,1,1,0,1,180,0,DENY
DevOps Engineer,IT,Employee,Admin Panel,1,0,4,0,1,0,0,30,1,DENY
DevOps Engineer,Product,Intern,Development Server,0,1,2,1,0,0,1,7,0,DENY
Contractor,IT,Intern,Admin Panel,1,0,4,0,1,0,1,30,0,DENY
HR Specialist,Product,Employee,Finance System,0,1,3,1,0,0,0,180,0,DENY
Finance Analyst,Engineering,Contractor,GitHub Project Alpha,1,1,1,1,0,1,0,14,0,ALLOW
DevOps Engineer,Engineering,Intern,GitHub Project Alpha,1,1,1,1,0,0,1,7,0,REVIEW
Contractor,Engineering,Intern,Finance System,0,1,3,0,0,0,1,7,0,DENY
Software Developer,Product,Employee,Project Management System,1,1,1,0,0,0,0,60,0,ALLOW
System Administrator,Finance,Intern,Development Server,0,1,2,0,1,0,1,7,0,DENY
HR Specialist,Engineering,Employee,GitHub Project Alpha,1,1,1,1,1,0,0,7,0,ALLOW
QA Engineer,IT,Employee,Development Server,0,1,2,1,1,0,0,7,0,DENY
Product Manager,Finance,Contractor,Development Server,0,1,2,1,1,1,0,365,0,DENY
System Administrator,Finance,Contractor,Finance System,1,1,3,0,1,1,0,60,1,ALLOW
Software Developer,Finance,Contractor,GitHub Project Alpha,0,1,1,0,0,1,0,180,0,DENY
Software Developer,Finance,Contractor,GitHub Project Alpha,0,1,1,0,0,1,0,30,0,DENY
DevOps Engineer,Engineering,Contractor,GitHub Project Alpha,1,1,1,0,0,1,0,180,0,ALLOW
Finance Analyst,Finance,Intern,HR Database,0,1,3,0,1,0,1,90,1,DENY
System Administrator,HR,Intern,Admin Panel,0,1,4,1,1,0,1,30,1,DENY
DevOps Engineer,Finance,Contractor,Finance System,1,1,3,1,1,1,0,365,0,ALLOW
Contractor,Engineering,Contractor,GitHub Project Alpha,1,1,1,1,0,1,0,14,0,ALLOW
System Administrator,HR,Employee,HR Database,1,1,3,0,0,0,0,365,0,REVIEW
Software Developer,Engineering,Intern,Finance System,0,1,3,1,1,0,1,30,0,DENY
Product Manager,Finance,Employee,GitHub Project Alpha,0,1,1,0,1,0,0,30,1,DENY
QA Engineer,HR,Contractor,GitHub Project Alpha,0,1,1,1,0,1,0,30,0,DENY
QA Engineer,Product,Intern,GitHub Project Alpha,1,1,1,0,1,0,1,90,0,ALLOW
Product Manager,Finance,Contractor,Development Server,0,1,2,0,1,1,0,30,0,DENY
Finance Analyst,Product,Intern,Finance System,0,1,3,0,0,0,1,180,0,DENY
QA Engineer,HR,Employee,HR Database,1,1,3,0,0,0,0,14,0,REVIEW
Finance Analyst,Engineering,Contractor,Finance System,0,1,3,0,0,1,0,14,0,DENY
System Administrator,Finance,Employee,Admin Panel,0,1,4,1,1,0,0,14,1,DENY
Contractor,IT,Employee,Admin Panel,1,0,4,0,1,0,0,7,1,DENY
QA Engineer,Engineering,Employee,Project Management System,1,1,1,1,0,0,0,365,0,ALLOW
System Administrator,Finance,Contractor,Admin Panel,0,1,4,1,0,1,0,7,0,DENY
Finance Analyst,Finance,Employee,Development Server,0,1,2,0,0,0,0,7,1,DENY
HR Specialist,Finance,Contractor,Finance System,1,1,3,1,1,1,0,60,1,ALLOW
Contractor,HR,Intern,GitHub Project Alpha,0,1,1,0,0,0,1,14,0,DENY
HR Specialist,HR,Intern,Production Database,0,0,4,1,0,0,1,180,0,DENY
Software Developer,Engineering,Contractor,Project Management System,1,1,1,0,1,1,0,14,0,ALLOW
DevOps Engineer,Product,Intern,Finance System,0,1,3,0,1,0,1,90,0,DENY
System Administrator,Engineering,Employee,HR Database,0,1,3,0,1,0,0,365,1,DENY
Software Developer,Finance,Employee,HR Database,0,1,3,1,0,0,0,365,0,DENY
HR Specialist,HR,Intern,Project Management System,1,1,1,1,1,0,1,365,0,ALLOW
Product Manager,HR,Employee,HR Database,1,1,3,0,1,0,0,30,0,REVIEW
System Administrator,Product,Employee,Development Server,0,1,2,1,1,0,0,30,1,DENY
DevOps Engineer,Product,Employee,Development Server,0,1,2,0,1,0,0,365,1,DENY
QA Engineer,Engineering,Intern,Finance System,0,1,3,1,0,0,1,7,0,DENY
Finance Analyst,Engineering,Employee,Admin Panel,0,0,4,0,0,0,0,365,0,DENY
Contractor,Engineering,Intern,HR Database,0,1,3,1,1,0,1,60,0,DENY
QA Engineer,Finance,Employee,Project Management System,1,1,1,1,1,0,0,90,0,ALLOW
Finance Analyst,Engineering,Employee,Development Server,1,1,2,0,1,0,0,30,0,ALLOW
